analysis_id,region,jurisdiction,age_group,sex,included,exclusion_reason,data_start,data_end,n_observations,missing_or_suppressed
us__us-non-sex__oregon__20-39__total,us_non_sex,Oregon,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__oregon__40-59__total,us_non_sex,Oregon,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__oregon__60-79__total,us_non_sex,Oregon,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__oregon__ge80__total,us_non_sex,Oregon,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__pennsylvania__20-39__total,us_non_sex,Pennsylvania,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__pennsylvania__40-59__total,us_non_sex,Pennsylvania,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__pennsylvania__60-79__total,us_non_sex,Pennsylvania,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__pennsylvania__ge80__total,us_non_sex,Pennsylvania,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__rhode-island__20-39__total,us_non_sex,Rhode Island,20-39,total,TRUE,,1999-01-31,2023-08-31,139,157
us__us-non-sex__rhode-island__40-59__total,us_non_sex,Rhode Island,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__rhode-island__60-79__total,us_non_sex,Rhode Island,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__rhode-island__ge80__total,us_non_sex,Rhode Island,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__south-carolina__20-39__total,us_non_sex,South Carolina,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__south-carolina__40-59__total,us_non_sex,South Carolina,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__south-carolina__60-79__total,us_non_sex,South Carolina,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__south-carolina__ge80__total,us_non_sex,South Carolina,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__south-dakota__20-39__total,us_non_sex,South Dakota,20-39,total,TRUE,,1999-02-28,2023-08-31,100,196
us__us-non-sex__south-dakota__40-59__total,us_non_sex,South Dakota,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__south-dakota__60-79__total,us_non_sex,South Dakota,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__south-dakota__ge80__total,us_non_sex,South Dakota,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__tennessee__20-39__total,us_non_sex,Tennessee,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__tennessee__40-59__total,us_non_sex,Tennessee,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__tennessee__60-79__total,us_non_sex,Tennessee,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__tennessee__ge80__total,us_non_sex,Tennessee,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__texas__20-39__total,us_non_sex,Texas,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__texas__40-59__total,us_non_sex,Texas,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__texas__60-79__total,us_non_sex,Texas,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__texas__ge80__total,us_non_sex,Texas,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__utah__20-39__total,us_non_sex,Utah,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__utah__40-59__total,us_non_sex,Utah,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__utah__60-79__total,us_non_sex,Utah,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__utah__ge80__total,us_non_sex,Utah,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__vermont__20-39__total,us_non_sex,Vermont,20-39,total,TRUE,,1999-07-31,2023-08-31,25,271
us__us-non-sex__vermont__40-59__total,us_non_sex,Vermont,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__vermont__60-79__total,us_non_sex,Vermont,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__vermont__ge80__total,us_non_sex,Vermont,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__virginia__20-39__total,us_non_sex,Virginia,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__virginia__40-59__total,us_non_sex,Virginia,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__virginia__60-79__total,us_non_sex,Virginia,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__virginia__ge80__total,us_non_sex,Virginia,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__washington__20-39__total,us_non_sex,Washington,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__washington__40-59__total,us_non_sex,Washington,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__washington__60-79__total,us_non_sex,Washington,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__washington__ge80__total,us_non_sex,Washington,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__west-virginia__20-39__total,us_non_sex,West Virginia,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__west-virginia__40-59__total,us_non_sex,West Virginia,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__west-virginia__60-79__total,us_non_sex,West Virginia,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__west-virginia__ge80__total,us_non_sex,West Virginia,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__wisconsin__20-39__total,us_non_sex,Wisconsin,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__wisconsin__40-59__total,us_non_sex,Wisconsin,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
