"figure","region","geography","age_group","status","reason","geography_label"
"figure_05","europe","CH","40-59","available",,"Switzerland"
"figure_05","europe","AM","60-79","available",,"Armenia"
"figure_05","europe","AT","60-79","available",,"Austria"
"figure_05","europe","BE","60-79","available",,"Belgium"
"figure_05","europe","BG","60-79","available",,"Bulgaria"
"figure_05","europe","HR","60-79","available",,"Croatia"
"figure_05","europe","CY","60-79","available",,"Cyprus"
"figure_05","europe","CZ","60-79","available",,"Czechia"
"figure_05","europe","DK","60-79","available",,"Denmark"
"figure_05","europe","EE","60-79","available",,"Estonia"
"figure_05","europe","FI","60-79","available",,"Finland"
"figure_05","europe","FR","60-79","available",,"France"
"figure_05","europe","DE","60-79","unavailable","paired_registry_rows_missing","Germany"
"figure_05","europe","EL","60-79","available",,"Greece"
"figure_05","europe","HU","60-79","available",,"Hungary"
"figure_05","europe","IS","60-79","available",,"Iceland"
"figure_05","europe","IT","60-79","available",,"Italy"
"figure_05","europe","LV","60-79","available",,"Latvia"
"figure_05","europe","LI","60-79","available",,"Liechtenstein"
"figure_05","europe","LT","60-79","available",,"Lithuania"
"figure_05","europe","LU","60-79","available",,"Luxembourg"
"figure_05","europe","MT","60-79","available",,"Malta"
"figure_05","europe","ME","60-79","available",,"Montenegro"
"figure_05","europe","NL","60-79","available",,"Netherlands"
"figure_05","europe","NO","60-79","available",,"Norway"
"figure_05","europe","PL","60-79","available",,"Poland"
"figure_05","europe","PT","60-79","available",,"Portugal"
"figure_05","europe","RO","60-79","available",,"Romania"
"figure_05","europe","RS","60-79","available",,"Serbia"
"figure_05","europe","SK","60-79","available",,"Slovakia"
"figure_05","europe","SI","60-79","available",,"Slovenia"
"figure_05","europe","ES","60-79","available",,"Spain"
"figure_05","europe","SE","60-79","available",,"Sweden"
"figure_05","europe","CH","60-79","available",,"Switzerland"
"figure_05","europe","AM","GE80","available",,"Armenia"
"figure_05","europe","AT","GE80","available",,"Austria"
"figure_05","europe","BE","GE80","available",,"Belgium"
"figure_05","europe","BG","GE80","available",,"Bulgaria"
"figure_05","europe","HR","GE80","available",,"Croatia"
"figure_05","europe","CY","GE80","available",,"Cyprus"
"figure_05","europe","CZ","GE80","available",,"Czechia"
"figure_05","europe","DK","GE80","available",,"Denmark"
"figure_05","europe","EE","GE80","available",,"Estonia"
"figure_05","europe","FI","GE80","available",,"Finland"
"figure_05","europe","FR","GE80","available",,"France"
"figure_05","europe","DE","GE80","unavailable","paired_registry_rows_missing","Germany"
"figure_05","europe","EL","GE80","available",,"Greece"
"figure_05","europe","HU","GE80","available",,"Hungary"
"figure_05","europe","IS","GE80","available",,"Iceland"
"figure_05","europe","IT","GE80","available",,"Italy"
"figure_05","europe","LV","GE80","available",,"Latvia"
"figure_05","europe","LI","GE80","available",,"Liechtenstein"
"figure_05","europe","LT","GE80","available",,"Lithuania"
"figure_05","europe","LU","GE80","available",,"Luxembourg"
"figure_05","europe","MT","GE80","available",,"Malta"
"figure_05","europe","ME","GE80","available",,"Montenegro"
"figure_05","europe","NL","GE80","available",,"Netherlands"
"figure_05","europe","NO","GE80","available",,"Norway"
"figure_05","europe","PL","GE80","available",,"Poland"
"figure_05","europe","PT","GE80","available",,"Portugal"
"figure_05","europe","RO","GE80","available",,"Romania"
