"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"25-29 years"	"25-29"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"30-34 years"	"30-34"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"35-39 years"	"35-39"	141	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"40-44 years"	"40-44"	189	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"45-49 years"	"45-49"	257	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"50-54 years"	"50-54"	378	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"55-59 years"	"55-59"	557	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"60-64 years "	"60-64"	691	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"65-69 years"	"65-69"	776	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"70-74 years"	"70-74"	856	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"75-79 years"	"75-79"	754	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"80-84 years"	"80-84"	776	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"85-89 years"	"85-89"	631	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"90-94 years"	"90-94"	402	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"95-99 years"	"95-99"	167	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"100+ years"	"100+"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"< 1 year"	"1"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"15-19 years"	"15-19"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"20-24 years"	"20-24"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"25-29 years"	"25-29"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"30-34 years"	"30-34"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"35-39 years"	"35-39"	106	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"40-44 years"	"40-44"	150	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"45-49 years"	"45-49"	172	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"50-54 years"	"50-54"	256	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"55-59 years"	"55-59"	361	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"60-64 years "	"60-64"	537	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"65-69 years"	"65-69"	640	Not Applicable	Not Applicable
