"STATISTIC Label","Quarter","Age Group","ICD 10 Diagnostic Group","UNIT","VALUE"
"Deaths Registered","2015Q4","55 - 64 years","Total deaths (A00-Y89)","Number","690"
"Deaths Registered","2015Q4","65 - 74 years","Total deaths (A00-Y89)","Number","1189"
"Deaths Registered","2015Q4","75 - 84 years","Total deaths (A00-Y89)","Number","1993"
"Deaths Registered","2015Q4","85 years and over","Total deaths (A00-Y89)","Number","2322"
"Deaths Registered","2015Q4","All ages","Total deaths (A00-Y89)","Number","6932"
"Deaths Registered","2016Q1","Under 1 year","Total deaths (A00-Y89)","Number","63"
"Deaths Registered","2016Q1","1 - 4 years","Total deaths (A00-Y89)","Number","6"
"Deaths Registered","2016Q1","5 - 14 years","Total deaths (A00-Y89)","Number","4"
"Deaths Registered","2016Q1","15 - 24 years","Total deaths (A00-Y89)","Number","45"
"Deaths Registered","2016Q1","25 - 34 years","Total deaths (A00-Y89)","Number","78"
"Deaths Registered","2016Q1","35 - 44 years","Total deaths (A00-Y89)","Number","127"
"Deaths Registered","2016Q1","45 - 54 years","Total deaths (A00-Y89)","Number","347"
"Deaths Registered","2016Q1","55 - 64 years","Total deaths (A00-Y89)","Number","798"
"Deaths Registered","2016Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1532"
"Deaths Registered","2016Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2517"
"Deaths Registered","2016Q1","85 years and over","Total deaths (A00-Y89)","Number","3092"
"Deaths Registered","2016Q1","All ages","Total deaths (A00-Y89)","Number","8609"
"Deaths Registered","2016Q2","Under 1 year","Total deaths (A00-Y89)","Number","48"
"Deaths Registered","2016Q2","1 - 4 years","Total deaths (A00-Y89)","Number","9"
"Deaths Registered","2016Q2","5 - 14 years","Total deaths (A00-Y89)","Number","12"
"Deaths Registered","2016Q2","15 - 24 years","Total deaths (A00-Y89)","Number","41"
"Deaths Registered","2016Q2","25 - 34 years","Total deaths (A00-Y89)","Number","76"
"Deaths Registered","2016Q2","35 - 44 years","Total deaths (A00-Y89)","Number","157"
"Deaths Registered","2016Q2","45 - 54 years","Total deaths (A00-Y89)","Number","334"
"Deaths Registered","2016Q2","55 - 64 years","Total deaths (A00-Y89)","Number","724"
"Deaths Registered","2016Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1360"
"Deaths Registered","2016Q2","75 - 84 years","Total deaths (A00-Y89)","Number","2315"
"Deaths Registered","2016Q2","85 years and over","Total deaths (A00-Y89)","Number","2621"
"Deaths Registered","2016Q2","All ages","Total deaths (A00-Y89)","Number","7697"
"Deaths Registered","2016Q3","Under 1 year","Total deaths (A00-Y89)","Number","49"
"Deaths Registered","2016Q3","1 - 4 years","Total deaths (A00-Y89)","Number","8"
"Deaths Registered","2016Q3","5 - 14 years","Total deaths (A00-Y89)","Number","9"
"Deaths Registered","2016Q3","15 - 24 years","Total deaths (A00-Y89)","Number","38"
"Deaths Registered","2016Q3","25 - 34 years","Total deaths (A00-Y89)","Number","78"
"Deaths Registered","2016Q3","35 - 44 years","Total deaths (A00-Y89)","Number","181"
"Deaths Registered","2016Q3","45 - 54 years","Total deaths (A00-Y89)","Number","334"
"Deaths Registered","2016Q3","55 - 64 years","Total deaths (A00-Y89)","Number","715"
